primary_investigator,school,institute_carnegie_classification,website,research_interest,postdoc_wanted,postdoc_ads_link,source
Phil Garner,Washington State,,http://garner.chem.wsu.edu/home,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Forrest Michael,Washington,,http://depts.washington.edu/chem/people/faculty/michael.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Gojko Lalic,Washington,,http://faculty.washington.edu/lalic/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Cynthia Dowd,George Washington,,http://home.gwu.edu/%7Ecdowd/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Christian Wolf,Georgetown University,,https://www.thewolfgrouponline.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Gregory Dudley,West Virginia,,http://www.dudleychemistry.org/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jessica Hoover,West Virginia,,https://www.chemistry.wvu.edu/directory/associate-professor/jessica-hoover,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Brian Popp,West Virginia,,http://community.wvu.edu/~bvpopp/1/Home.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Björn Söderberg,West Virginia,,https://www.chemistry.wvu.edu/directory/professors/bjorn-soderberg,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Kung Wang,West Virginia,,https://www.chemistry.wvu.edu/directory/professors/kung-wang,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Helen Blackwell,Wisconsin,,https://blackwell.chem.wisc.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
AJ Boydston,Wisconsin,,https://boydston.chem.wisc.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Sam Gellman,Wisconsin,,http://gellman.chem.wisc.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jennifer Golden,Wisconsin,,https://pharmacy.wisc.edu/golden-lab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Richard Hsung,Wisconsin,,https://pharmacy.wisc.edu/hsung-group/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Clark Landis,Wisconsin,,http://landis.chem.wisc.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jeff Martell,Wisconsin,,https://martellgroup.chem.wisc.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Jennifer Schomaker,Wisconsin,,http://www.chem.wisc.edu/users/schomakerj,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Shannon Stahl,Wisconsin,,http://www.chem.wisc.edu/content/stahl-group,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Weiping Tang,Wisconsin,,https://pharmacy.wisc.edu/tang-lab/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Daniel Weix,Wisconsin,,https://weixgroup.chem.wisc.edu,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Zach Wickens,Wisconsin,,https://wickens.chem.wisc.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Tehshik Yoon,Wisconsin,,http://yoon.chem.wisc.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
James Cook,Wisconsin – Milwaukee,,https://sites.uwm.edu/capncook/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Christopher Dockendorff,Marquette,,https://dockendorfflab.wordpress.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
William Donaldson,Marquette,,https://www.marquette.edu/chemistry/directory/william-donaldson.php,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Mahmun Hossain,Wisconsin – Milwaukee,,https://uwm.edu/chemistry/people/hossain-m-mahmun/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Michael Taylor,Wyoming,,http://www.taylorresearchgroup.org/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
