primary_investigator,school,institute_carnegie_classification,website,research_interest,postdoc_wanted,postdoc_ads_link,source
Marc Snapper,Boston College,,https://sites.bc.edu/marc-snapper/marc-snapper/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Masayuki Wasa,Boston College,,https://sites.google.com/bc.edu/masayuki-wasa/home,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
X. Peter Zhang,Boston College,,https://sites.bc.edu/peter-zhang/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Aaron Beeler,Boston University,,https://www.bu.edu/chemistry/faculty/beeler/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
James Panek,Boston University,,http://people.bu.edu/panek/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John Porco,Boston University,,https://www.porcogroup.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Scott Shaus,Boston University,,https://www.bu.edu/chemistry/faculty/schaus/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
John Snyder,Boston University,,http://people.bu.edu/jsnyder/index.htm,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Barry Snider,Brandeis,,http://blogs.brandeis.edu/snidergroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Isaac Krauss,Brandeis,,http://people.brandeis.edu/~kraussi/index.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Chi Ting,Brandeis,,https://www.brandeis.edu/chemistry/faculty/ting-chi.html,synthetic organic,True,https://www.brandeis.edu/chemistry/faculty/ting-chi.html,https://www.organicdivision.org/organicsyntheticfaculty/
Hao Xu,Brandeis,,https://www.brandeis.edu/chemistry/faculty/xu-hao.html,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
E. J. Corey,Harvard,,http://faculty.chemistry.harvard.edu/elias-corey,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Yoshito Kishi,Harvard,,http://faculty.chemistry.harvard.edu/yoshito-kishi,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Eric Jacobsen,Harvard,,http://www.people.fas.harvard.edu/~jacobsengroup/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Andrew Myers,Harvard,,http://faculty.chemistry.harvard.edu/myers,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Stuart Schreiber,Harvard,,https://www.broadinstitute.org/bios/stuart-l-schreiber,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Matthew Shair,Harvard,,http://www.shairlab.com,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Daniel Kahne,Harvard,,https://www.kahnelabharvard.com/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Christina Woo,Harvard,,http://www.woolab.org,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Rick Danheiser,MIT,,http://danheiserlab.mit.edu/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
Timothy Jamison,MIT,,http://web.mit.edu/chemistry/jamison/,synthetic organic,,,https://www.organicdivision.org/organicsyntheticfaculty/
